Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,Supermarket Type1,3735.138
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,Supermarket Type2,443.4228
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,Supermarket Type1,2097.27
FDP36,10.395,Regular,0.0,Baking Goods,51.4008,OUT018,Supermarket Type2,556.6088
FDP10,,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,Supermarket Type3,4022.7636
FDY07,11.8,Low Fat,0.0,Fruits and Vegetables,45.5402,OUT049,Supermarket Type1,1516.0266
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,Supermarket Type1,1589.2646
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,Supermarket Type2,1621.8888
FDP49,9.0,Regular,0.06919637599999999,Breakfast,54.3614,OUT049,Supermarket Type1,718.3982
DRI11,,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,Supermarket Type3,2303.6679999999997
FDW12,,Regular,0.035399923,Baking Goods,144.5444,OUT027,Supermarket Type3,4064.0432
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,Supermarket Type2,2741.7644
FDP33,18.7,Low Fat,0.0,Snack Foods,256.6672,OUT018,Supermarket Type2,3068.0064
NCX29,10.0,Low Fat,0.08929113699999999,Health and Hygiene,146.7102,OUT049,Supermarket Type1,3791.0652
FDV20,,Regular,0.059511812000000004,Fruits and Vegetables,128.0678,OUT027,Supermarket Type3,2797.6916
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,Supermarket Type2,1609.9044
FDX10,,Regular,0.12311145300000001,Snack Foods,36.9874,OUT027,Supermarket Type3,388.1614
FDB34,,Low Fat,0.026480953999999998,Snack Foods,87.6198,OUT027,Supermarket Type3,2180.495
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,Supermarket Type1,2527.3768
FDC02,21.35,Low Fat,0.06910283099999999,Canned,259.9278,OUT018,Supermarket Type2,6768.5228
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,Supermarket Type2,6258.52
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,Supermarket Type1,796.9626
FDM20,10.0,Low Fat,0.0,Fruits and Vegetables,246.9144,OUT018,Supermarket Type2,3185.1872
FDF09,,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,Supermarket Type3,484.7024
FDY45,,Low Fat,0.026015518999999997,Snack Foods,255.8356,OUT027,Supermarket Type3,2543.356
NCZ18,7.825,low fat,0.186357148,Household,254.3698,OUT049,Supermarket Type1,5580.7356
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,Supermarket Type1,1207.0954
FDV45,16.75,low fat,0.045230944,Snack Foods,187.9556,OUT018,Supermarket Type2,4693.89
FDR12,,Regular,0.031382044,Baking Goods,171.3764,OUT027,Supermarket Type3,3091.9752
FDQ49,,Regular,0.039057677,Breakfast,155.963,OUT027,Supermarket Type3,3285.723
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,Supermarket Type1,1523.3504
DRG27,8.895,Low Fat,0.10527411099999999,Dairy,39.9138,OUT049,Supermarket Type1,690.4346
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,Supermarket Type1,1231.73
NCP18,,Low Fat,0.028459761,Household,149.9708,OUT027,Supermarket Type3,4363.6532
FDD10,,Regular,0.045797829000000005,Snack Foods,178.5344,OUT027,Supermarket Type3,2854.9504
FDW57,8.31,Regular,0.11585722300000001,Snack Foods,179.1028,OUT049,Supermarket Type1,3896.2616
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,Supermarket Type2,3185.853
FDX34,,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,Supermarket Type3,4097.3332
FDD17,7.5,Low Fat,0.032677677999999995,Frozen Foods,239.0906,OUT049,Supermarket Type1,5942.265
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,Supermarket Type2,1141.847
FDY25,,Low Fat,0.033809913,Canned,180.5976,OUT027,Supermarket Type3,7968.2944
NCR53,,Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,Supermarket Type3,6976.2524
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,Supermarket Type2,952.0939999999999
FDH35,,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,Supermarket Type3,5262.4832
NCC30,16.6,Low Fat,0.027622076000000002,Household,177.6344,OUT049,Supermarket Type1,2676.5159999999996
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,Supermarket Type1,7370.406
FDR28,13.85,reg,0.026001976,Frozen Foods,161.52100000000002,OUT018,Supermarket Type2,1794.3310000000001
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,Supermarket Type2,2768.3964
DRK12,,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,Supermarket Type3,898.83
NCI18,18.35,Low Fat,0.014081156000000001,Household,223.5746,OUT018,Supermarket Type2,3589.9936
FDB36,5.465,Regular,0.0,Baking Goods,132.5626,OUT018,Supermarket Type2,262.3252
FDR07,,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,Supermarket Type3,1808.9786
FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,Supermarket Type2,3315.684
FDL50,12.15,Regular,0.042485444000000004,Canned,125.0046,OUT018,Supermarket Type2,1743.0644
NCB30,,Low Fat,0.025578526,Household,198.8084,OUT027,Supermarket Type3,5555.4352
FDW11,12.6,Low Fat,0.048980800000000005,Breads,61.9194,OUT018,Supermarket Type2,619.194
FDQ28,,Regular,0.060134441,Frozen Foods,153.0656,OUT027,Supermarket Type3,6024.1584
FDT12,,Regular,0.049381405999999996,Baking Goods,226.8062,OUT027,Supermarket Type3,4739.8302
FDK58,11.35,Regular,0.045165795999999994,Snack Foods,100.0016,OUT018,Supermarket Type2,1012.0160000000001
NCW29,14.0,Low Fat,0.028907832,Health and Hygiene,130.431,OUT049,Supermarket Type1,778.9860000000001
NCB19,6.525,Low Fat,0.09043609400000001,Household,85.0882,OUT049,Supermarket Type1,2233.0932
FDV15,10.3,Low Fat,0.146399712,Meat,103.9648,OUT049,Supermarket Type1,1661.8368
FDL58,5.78,Regular,0.07426435599999999,Snack Foods,264.7568,OUT049,Supermarket Type1,4745.8224
FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,Supermarket Type2,467.3916
NCX06,,Low Fat,0.01561108,Household,182.5976,OUT027,Supermarket Type3,5070.7328
NCN55,14.6,Low Fat,0.059582996,Others,238.8538,OUT049,Supermarket Type1,6008.845
FDE40,,Regular,0.09866365199999999,Dairy,62.9194,OUT027,Supermarket Type3,2105.2596
FDX49,,reg,0.101338651,Canned,232.63,OUT027,Supermarket Type3,5359.69
FDI24,,Low Fat,0.07836248400000001,Baking Goods,177.937,OUT027,Supermarket Type3,6704.606
FDG52,13.65,Low Fat,0.06573288299999999,Frozen Foods,45.7402,OUT049,Supermarket Type1,780.9834
FDY24,4.88,Regular,0.133700752,Baking Goods,52.9298,OUT049,Supermarket Type1,1995.4026
FDX25,,Low Fat,0.101561568,Canned,181.9292,OUT027,Supermarket Type3,3101.2964
NCX42,,Low Fat,0.0059496440000000005,Household,165.6526,OUT027,Supermarket Type3,4769.1254
FDG33,,Regular,0.13956116,Seafood,170.4764,OUT027,Supermarket Type3,3435.528
DRM47,,Low Fat,0.04357366,Hard Drinks,192.8846,OUT027,Supermarket Type3,2293.0152
FDX21,,LF,0.08455456900000001,Snack Foods,109.8912,OUT027,Supermarket Type3,2074.6328
NCU05,,Low Fat,0.058451805,Health and Hygiene,79.9618,OUT027,Supermarket Type3,241.6854
FDL43,10.1,Low Fat,0.027106459,Meat,75.367,OUT049,Supermarket Type1,535.969
FDL20,17.1,Low Fat,0.128937661,Fruits and Vegetables,112.3886,OUT018,Supermarket Type2,1779.0176
FDV32,7.785,Low Fat,0.088846306,Fruits and Vegetables,61.451,OUT049,Supermarket Type1,759.012
FDH19,,Low Fat,0.03292824,Meat,173.1738,OUT027,Supermarket Type3,7298.4996
