Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Type,Item_Outlet_Sales
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,Supermarket Type1,2187.153
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,Supermarket Type1,2145.2076
FDP49,9.0,Regular,0.06908896099999999,Breakfast,56.3614,OUT046,Supermarket Type1,1547.3192
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,Supermarket Type1,2748.4224
NCB30,14.6,Low Fat,0.025698133999999997,Household,196.5084,OUT035,Supermarket Type1,1587.2672
FDC37,,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,Grocery Store,214.3876
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,Supermarket Type1,4078.025
FDV10,7.645,Regular,0.06669343700000001,Snack Foods,42.3112,OUT035,Supermarket Type1,1065.28
FDC14,,Regular,0.072221801,Canned,43.6454,OUT019,Grocery Store,125.8362
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,Supermarket Type1,2085.2856
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,Supermarket Type1,3435.528
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,Supermarket Type1,2576.646
FDS02,,Regular,0.25539489600000004,Dairy,196.8794,OUT019,Grocery Store,780.3176
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,Supermarket Type1,3134.5864
FDY21,15.1,Low Fat,0.17348130399999998,Snack Foods,194.511,OUT046,Supermarket Type1,4910.275
FDI26,,Low Fat,0.061082177,Canned,180.0344,OUT019,Grocery Store,892.172
FDY40,,Regular,0.15028599,Frozen Foods,51.0692,OUT019,Grocery Store,147.8076
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,Supermarket Type1,4865.6664
NCI17,8.645,Low Fat,0.14342264300000002,Health and Hygiene,95.84100000000001,OUT046,Supermarket Type1,2027.361
FDJ58,15.6,Regular,0.10529607199999999,Snack Foods,170.1764,OUT046,Supermarket Type1,3435.528
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,Supermarket Type1,2290.3520000000003
FDN48,,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,Grocery Store,643.1628
FDD58,7.76,Low Fat,0.05935224099999999,Snack Foods,101.87,OUT046,Supermarket Type1,1697.79
FDN04,11.8,reg,0.014087057,Frozen Foods,180.3344,OUT046,Supermarket Type1,1427.4752
NCL18,,Low Fat,0.293417759,Household,194.6136,OUT019,Grocery Store,583.2408
